Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied
Matas Buzelis,PF,CHI,5900,27.21,20,30,39.38,15.68,1,79.0,3.1,29.08,182,66,0,0,17.2,vs DET,3.5,130,236.5,116.5
Mikal Bridges,SG,NYK,5800,28.61,21,30,38.92,23.58,1,87.0,6.4,28.46,87,80,0,0,30.3,vs CLE,1.5,102,229.5,114.0
Caris LeVert,SG/SF,DET,5800,26.2,22,30,35.33,16.7,2,85.0,1.7,25.44,252,64,6,0,24.3,@CHI,-3.5,-155,236.5,120.0
Jared McCain,PG,PHI,5800,0.0,7,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,23.9,@BOS,4.5,150,229.5,112.5
Kyle Filipowski,PF/C,UTA,5700,25.4,6,30,45.73,17.74,1,83.0,1.1,24.06,271,63,1,0,22.2,vs LAC,10.5,370,225.5,107.5
Herbert Jones,SG/SF,NOP,5700,26.9,20,30,34.56,18.63,1,83.0,1.1,23.83,243,65,0,0,24.3,@MEM,3.5,145,236.5,116.5
Bilal Coulibaly,PF,WAS,5700,0.0,12,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,27.2,@MIL,10.5,340,227.5,108.5
Jaden McDaniels,SF/PF,MIN,5600,26.08,17,30,37.59,18.22,1,85.0,2.0,27.08,254,67,0,0,27.3,@POR,-5.5,-205,222.5,114.0
Bub Carrington,PG,WAS,5600,23.62,17,30,41.35,16.9,1,84.0,1.4,23.91,249,60,1,0,23.6,@MIL,10.5,340,227.5,108.5
Jose Alvarado,PG,NOP,5600,20.01,17,30,33.08,17.57,2,81.0,0.8,16.8,196,50,0,0,23.7,@MEM,3.5,145,236.5,116.5
Wendell Carter Jr.,C,ORL,5600,26.0,15,30,33.36,16.77,1,84.0,1.4,24.08,234,63,5,0,24.1,vs MIA,-8.5,-345,216.5,112.5
Ayo Dosunmu,SG/SF,CHI,5600,23.52,10,30,31.07,16.4,2,84.0,0.8,23.28,218,59,-1,0,26.1,vs DET,3.5,130,236.5,116.5
Keon Ellis,SG,SAC,5600,19.39,4,30,32.91,9.31,2,74.0,1.1,21.43,206,44,-2,0,18.8,@PHX,3.5,142,228.5,112.5
Nic Claxton,C,BKN,5500,29.05,17,30,36.41,16.87,1,88.0,13.4,29.39,39,80,2,0,27.2,@CHA,5.5,170,228.5,111.5
Dillon Brooks,PF,PHX,5500,23.49,22,30,27.73,14.49,1,82.0,1.7,24.79,209,58,0,0,23.6,vs SAC,-3.5,-170,228.5,116.0
Kyshawn George,SF/PF,WAS,5500,25.46,18,30,36.06,15.32,1,84.0,1.1,24.33,236,61,0,0,21.3,@MIL,10.5,340,227.5,108.5
Donte DiVincenzo,PG/SG,MIN,5500,24.06,25,30,29.3,12.8,1,85.0,4.5,27.62,99,62,-2,0,24.4,@POR,-5.5,-205,222.5,114.0
Zaccharie Risacher,SF,ATL,5500,21.95,6,30,35.71,9.13,1,77.0,1.7,23.17,222,49,-2,0,21.1,vs TOR,-5.5,-225,237.5,121.5
Jerami Grant,PF,POR,5500,21.98,23,30,33.34,16.66,2,83.0,1.4,23.13,216,58,-3,0,26.1,vs MIN,5.5,170,222.5,108.5
Isaiah Collier,PG,UTA,5500,0.0,5,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,23.6,vs LAC,10.5,370,225.5,107.5
Dylan Harper,PG/SG,SAS,5500,22.0,17,30,24.200000000000003,0.0,2,0.0,1.1,23.1,191,23,1,0,0.0,@DAL,4.5,142,223.5,109.5
John Collins,PF/C,LAC,5500,22.52,26,30,43.17,18.02,2,88.0,2.0,24.68,249,63,3,0,36.1,@UTA,-10.5,-485,225.5,118.0
Day'Ron Sharpe,C,BKN,5400,22.75,27,30,35.92,10.83,2,78.0,0.6,22.24,219,51,4,0,21.8,@CHA,5.5,170,228.5,111.5
Chris Boucher,PF/C,BOS,5400,21.76,30,30,27.97,7.75,2,70.0,1.7,20.2,189,43,8,0,19.1,vs PHI,-4.5,-180,229.5,117.0
Dereck Lively II,C,DAL,5300,27.42,20,30,36.55,11.7,1,82.0,3.1,25.58,153,61,1,0,25.3,vs SAS,-4.5,-170,223.5,114.0
Jaylen Wells,SF,MEM,5300,22.86,12,30,23.65,9.75,1,81.0,1.4,25.5,191,54,-1,0,19.0,vs NOP,-3.5,-175,236.5,120.0
Collin Sexton,PG/SG,CHA,5300,26.43,27,30,39.74,20.55,2,86.0,3.9,22.93,121,68,2,0,29.4,vs BKN,-5.5,-205,228.5,117.0
Keldon Johnson,SF/PF,SAS,5200,23.55,9,30,34.77,18.8,2,86.0,4.8,22.31,87,63,-2,0,23.1,@DAL,4.5,142,223.5,109.5
Egor Demin,PG,BKN,5200,20.0,26,30,22.0,0.0,2,0.0,1.4,19.6,160,20,1,0,0.0,@CHA,5.5,170,228.5,111.5
Drew Eubanks,C,SAC,5200,21.93,28,30,24.123825,0.0,1,74.0,1.7,22.77,179,40,3,0,11.6,@PHX,3.5,142,228.5,112.5
Tre Johnson,PG/SG,WAS,5100,20.0,11,30,22.0,0.0,2,0.0,0.6,17.15,151,19,-1,0,0.0,@MIL,10.5,340,227.5,108.5
Klay Thompson,SG,DAL,5100,24.05,29,30,30.7,12.36,1,84.0,1.4,23.6,200,56,3,0,24.6,vs SAS,-4.5,-170,223.5,114.0
Kon Knueppel,SG/SF,CHA,5100,23.61,3,30,25.972222222222225,0.0,1,0.0,3.6,22.42,102,24,0,0,0.0,vs BKN,-5.5,-205,228.5,117.0
Sam Hauser,SF/PF,BOS,5100,18.73,26,30,22.45,4.14,1,78.0,1.7,20.8,158,40,3,0,15.4,vs PHI,-4.5,-180,229.5,117.0
Jeremy Sochan,PF/C,SAS,5100,0.0,20,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,25.5,@DAL,4.5,142,223.5,109.5
Chris Paul,PG,LAC,5000,18.03,29,30,35.12,15.34,2,85.0,1.4,19.45,182,50,3,0,27.7,@UTA,-10.5,-485,225.5,118.0
Harrison Barnes,PF,SAS,5000,25.23,16,30,32.97,15.03,1,82.0,1.1,21.29,199,57,2,0,21.5,@DAL,4.5,142,223.5,109.5
VJ Edgecombe,SG/SF,PHI,5000,21.3,19,30,23.425925925925924,0.0,1,0.0,7.3,24.91,48,25,0,0,0.0,@BOS,4.5,150,229.5,112.5
Neemias Queta,C,BOS,5000,23.72,22,30,26.096785000000004,2.77,1,60.0,3.9,21.55,92,40,5,0,12.0,vs PHI,-4.5,-180,229.5,117.0
Jaime Jaquez Jr.,SF,MIA,5000,14.98,2,30,32.54,0.0,2,81.0,0.8,16.2,159,29,-1,0,18.8,@ORL,8.5,275,216.5,104.0
Russell Westbrook,PG,SAC,5000,18.93,12,30,31.3,13.04,2,85.0,1.4,17.89,170,47,-3,0,30.4,@PHX,3.5,142,228.5,112.5
Luka Garza,C,BOS,4900,13.36,30,30,14.696,0.0,2,40.0,0.0,8.71,0,0,4,0,6.0,vs PHI,-4.5,-180,229.5,117.0
Noah Clowney,PF,BKN,4900,17.23,22,30,24.01,9.52,2,74.0,1.4,17.83,145,40,2,0,17.8,@CHA,5.5,170,228.5,111.5
Lonzo Ball,PG/SG,CLE,4900,19.19,10,30,28.46,15.82,2,84.0,1.1,20.16,166,52,-1,0,20.8,@NYK,-1.5,-122,229.5,115.5
Gradey Dick,SG,TOR,4900,14.27,25,30,28.43,11.01,2,81.0,0.8,15.38,142,38,2,0,24.0,@ATL,5.5,185,237.5,116.0
Nikola Jovic,PF/C,MIA,4900,22.58,1,30,35.18,11.69,1,76.0,1.4,21.77,195,50,1,0,22.0,@ORL,8.5,275,216.5,104.0
Jordan Clarkson,PG/SG,NYK,4900,23.17,16,30,36.75,15.94,2,84.0,2.0,20.45,197,56,4,0,27.9,vs CLE,1.5,102,229.5,114.0
Scotty Pippen Jr.,PG,MEM,4900,0.0,6,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,24.2,vs NOP,-3.5,-175,236.5,120.0
Cam Whitmore,SG,WAS,4800,13.97,12,30,31.37,0.0,2,75.0,1.1,14.75,144,26,4,0,15.6,@MIL,10.5,340,227.5,108.5
Royce O'Neale,SF,PHX,4800,19.47,6,30,27.63,9.74,2,82.0,2.0,21.09,164,47,-2,0,21.6,vs SAC,-3.5,-170,228.5,116.0
Max Christie,SG,DAL,4800,13.02,15,30,28.04,11.15,2,74.0,0.0,12.29,0,0,-1,0,18.9,vs SAS,-4.5,-170,223.5,114.0
Duncan Robinson,SG/SF,DET,4800,22.83,5,30,23.17,5.08,1,77.0,1.7,21.93,163,45,-3,0,18.5,@CHI,-3.5,-155,236.5,120.0
Kentavious Caldwell-Pope,SG,MEM,4800,21.34,12,30,26.86,7.17,1,82.0,1.4,21.31,167,46,-2,0,17.8,vs NOP,-3.5,-175,236.5,120.0
Jalen Smith,C,CHI,4800,18.85,8,30,28.14,6.77,2,75.0,1.4,21.3,164,42,-6,0,18.7,vs DET,3.5,130,236.5,116.5
Sam Merrill,SG,CLE,4800,16.85,9,30,23.43,8.85,1,73.0,2.3,21.25,128,42,-2,0,14.7,@NYK,-1.5,-122,229.5,115.5
Daniel Gafford,C,DAL,4700,0.0,21,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,26.5,vs SAS,-4.5,-170,223.5,114.0
Kevin Huerter,SG,CHI,4700,20.59,7,30,37.96,17.82,2,80.0,0.6,20.05,185,54,-2,0,20.0,vs DET,3.5,130,236.5,116.5
