Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Sion James,PG,CHA,3100,6.48,27,30,12.0,5.18,2,0.0,2.3,10.11,39,11,2,0,12.0,@PHI,4.5,160,236.5,116.0,0.7058823529411765,0.2352941176470588,0.0,12.0,17.0,0.0,0.0,0.4705882352941176,0.5,0.0588235294117647,0.0,1.0,0.0,4.0,0.0
Tony Bradley,C,IND,3100,6.31,9,30,18.81,0.0,2,51.0,1.2,8.0,51,11,1,0,4.0,@MEM,2.5,114,240.5,119.0,0.4,0.2,0.0,4.0,10.0,1.5,0.375,0.3,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Brooks Barnhizer,PF,OKC,3100,3.74,22,30,5.75,0.0,2,36.0,2.0,8.38,28,8,1,0,2.9,@ATL,-8.5,-325,237.5,123.0,0.20535714285714285,0.0714285714285714,0.0,2.875,8.0,0.0,0.0,0.17857142857142855,0.0,0.0357142857142857,0.0,1.5,0.0,2.0,0.0
Antonio Reeves,SF,CHA,3000,0.0,27,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@PHI,4.5,160,236.5,116.0,,,,,,,,,,,,,,,
Gregory Jackson,PF,MEM,3000,5.71,7,30,18.01,3.83,2,75.0,0.9,6.51,45,14,-1,0,9.5,vs IND,-2.5,-135,240.5,121.5,,,,,,,,,,,,,,,
Vit Krejci,SG/SF,ATL,3000,5.15,23,30,25.75,4.22,2,81.0,0.9,12.48,65,20,-2,0,9.0,vs OKC,8.5,260,237.5,114.5,0.32142857142857145,0.25,0.0,4.5,7.0,0.625,0.06944444444444445,0.21428571428571425,0.5,0.0,0.0,0.0,0.0,1.0,0.0
Isaiah Livers,SG,PHX,3000,0.0,12,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,@DEN,12.5,550,233.5,110.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asa Newell,PF,ATL,3000,2.05,20,30,5.5,1.64,2,0.0,1.8,10.19,27,7,-3,0,5.5,vs OKC,8.5,260,237.5,114.5,0.6875,0.625,0.0,2.75,2.0,1.5,0.2727272727272727,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Noa Essengue,PF,CHI,3000,0.0,3,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,@ORL,6.5,205,233.5,113.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Houstan,PF,ATL,3000,2.41,29,30,21.17,1.05,2,56.99999999999999,0.0,1.86,0,0,-3,0,0.0,vs OKC,8.5,260,237.5,114.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
