Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Mason Plumlee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Miles Bridges,0.75,0.5757575757575758,0.0,24.75,33.0,0.0,0.0,0.5151515151515151,0.2857142857142857,0.18181818181818182,0.17457896856581304,3,0.3333333333333333,4.0,0
Moses Moody,0.575,0.0,0.0,5.75,10.0,0.0,0.0,0.4,1.0,0.0,0.0,0,0.0,3.0,0
Moussa Diabate,1.15,0.55,0.0,23.0,20.0,1.25,0.05434782608695652,0.5,0.0,0.3,0.20654432733644415,1,0.0,5.0,0
Myles Turner,1.146551724137931,0.7241379310344828,0.0,33.25,29.0,6.25,0.18796992481203006,0.4482758620689655,0.5,0.2413793103448276,0.15483412230606633,1,0.2857142857142857,2.0,1
Myron Gardner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Nikola Jovic,0.225,0.2,0.0,2.25,10.0,0.0,0.0,0.7,0.25,0.0,0.0,0,0.0,2.0,0
Noah Penda,0.4117647058823529,0.23529411764705882,0.0,7.0,17.0,0.0,0.0,0.35294117647058826,0.0,0.11764705882352941,1.0,1,0.0,6.0,0
Norman Powell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Orlando Robinson,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,1.0,1
Ousmane Dieng,1.2,0.4,0.0,6.0,5.0,6.0,1.0,0.6,1.0,0.2,0.0,4,1.0,1.0,1
Paolo Banchero,1.4924242424242424,0.9090909090909091,0.0,49.25,33.0,7.5,0.15228426395939088,0.6363636363636364,0.25,0.30303030303030304,0.21492331429350678,4,0.4,2.0,1
