LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1473549,Chris Manon,SG/SF,LAL,3000,0,0,0,7,30,0,0,4,0,0,0,0,0,0,0,2.3,@MIL,1232601,1.5,102,229.5,114.0,
1473550,Adou Thiero,SF/PF,LAL,3000,6,5.25,0,15,30,6.6000000000000005,0,2,0,4.7,4.86,11,6,2,0,0,@MIL,1408189,1.5,102,229.5,114.0,
1473551,AJ Lawson,PG,TOR,3000,0,0,0,15,30,0,0,4,0,0,0,0,0,0,0,0,@IND,1137214,-6.5,-250,235.5,121.0,
1473552,Jonathan Mogbo,PF/C,TOR,3000,0,0,0,12,30,0,0,4,0,0,0,0,0,0,0,4.1,@IND,1404902,-6.5,-250,235.5,121.0,
1473553,Chucky Hepburn,PG,TOR,3000,0,0,0,25,30,0,0,4,0,0,0,0,0,0,0,0,@IND,1327212,-6.5,-250,235.5,121.0,
1473554,Alijah Martin,SG,TOR,3000,0,0,0,15,30,0,0,4,0,0,0,0,0,0,0,0,@IND,1232344,-6.5,-250,235.5,121.0,
1473555,Garrett Temple,SG/SF,TOR,3000,3.59,0,0,15,30,16.18,0,2,47,1.8,0,30,5,4,0,2,@IND,263903,-6.5,-250,235.5,121.0,
1473556,Ochai Agbaji,SG/SF,TOR,3000,0,0,0,15,30,0,0,4,0,0,0,0,0,0,0,7.5,@IND,1132831,-6.5,-250,235.5,121.0,
1473557,Branden Carlson,C,OKC,3000,14,13.5,0,29,30,21.25,0,2,60,2.6,11.5,54,21,9,0,6.2,@CHA,1177008,-17.5,-1600,224.5,121.0,
1473558,Brooks Barnhizer,PF,OKC,3000,4.79,9.75,0,26,30,7.73,0.91,2,53,2.3,2.77,20,7,11,0,4.3,@CHA,1324660,-17.5,-1600,224.5,121.0,
1473559,Chris Youngblood,SG,OKC,3000,0,0,0,11,30,0,0,2,0,1.5,2.25,0,0,0,0,2.4,@CHA,1234814,-17.5,-1600,224.5,121.0,
1473560,Nikola Topic,PG,OKC,3000,0,0,0,15,30,0,0,4,0,0,0,0,0,0,0,0,@CHA,1432174,-17.5,-1600,224.5,121.0,
1473561,Thomas Sorber,C,OKC,3000,0,0,0,26,30,0,0,4,0,0,0,0,0,0,0,0,@CHA,1547672,-17.5,-1600,224.5,121.0,
1473562,Kenrich Williams,C,OKC,3000,0,0,0,26,30,0,0,4,0,0,0,0,0,0,0,0,@CHA,843742,-17.5,-1600,224.5,121.0,
1473563,Zeke Nnaji,PF/C,DEN,3000,4.45,0,0,25,30,7.61,0,2,65,0,0.6,0,0,0,0,2.7,@MIN,1193676,-1.5,-115,236.5,119.0,
1473564,Hunter Tyson,PF,DEN,3000,0,0,0,18,30,0,0,2,0,2.3,2.56,0,0,0,0,2.9,@MIN,1132015,-1.5,-115,236.5,119.0,
1473565,Tamar Bates,SG,DEN,3000,0,0,0,9,30,0,0,4,0,0,0,0,0,0,0,0,@MIN,1333783,-1.5,-115,236.5,119.0,
1473566,DaRon Holmes II,C,DEN,3000,0,0,0,9,30,0,0,4,0,0,0,0,0,0,0,1.8,@MIN,1334228,-1.5,-115,236.5,119.0,
1473567,Jalen Pickett,PG,DEN,3000,4.5,0,0,10,30,9.25,0.19,2,57.99999999999999,1.8,4.96,28,8,-1,0,5.3,@MIN,1136567,-1.5,-115,236.5,119.0,
1473568,Curtis Jones,PG,DEN,3000,0,0,0,9,30,0,0,4,0,0,0,0,0,0,0,0,@MIN,1323685,-1.5,-115,236.5,119.0,
