Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,fppg_floor,fppg_ceiling,max_exposure,min_exposure,max_deviation,min_deviation
PG/SG,Pat Spencer (1176145),Pat Spencer,1176145,PG/SG/UTIL,3000,GSW @ORL,GSW,2.6,1.31,16.72,100,0,0,0
SF/PF,Caleb Houstan (1324361),Caleb Houstan,1324361,SF/PF/UTIL,3000,ATL vs DET,ATL,2.25,0.0,17.09,100,0,0,0
SF/PF,Carter Bryant (1538604),Carter Bryant,1538604,SF/PF/UTIL,3000,SAS vs MEM,SAS,4.43,0.0,8.56,100,0,0,0
C,Bismack Biyombo (599797),Bismack Biyombo,599797,C/UTIL,3000,SAS vs MEM,SAS,7.29,3.33,20.26,100,0,0,0
SG/SF,Lindy Waters III (944248),Lindy Waters III,944248,SG/SF/UTIL,3000,SAS vs MEM,SAS,3.34,0.0,14.87,100,0,0,0
PF/C,Isaac Jones (1403624),Isaac Jones,1403624,PF/C/UTIL,3000,DET @ATL,DET,2.27,1.73,5.89,100,0,0,0
SF/PF,Gregory Jackson (1405584),Gregory Jackson,1405584,SF/PF/UTIL,3000,MEM @SAS,MEM,3.29,0.89,15.17,100,0,0,0
SG/SF,Hugo Gonzalez (1590553),Hugo Gonzalez,1590553,SG/SF/UTIL,3000,BOS @BKN,BOS,6.94,3.07,13.75,100,0,0,0
PF/C,Chris Boucher (901190),Chris Boucher,901190,PF/C/UTIL,3000,BOS @BKN,BOS,2.52,2.02,21.39,100,0,0,0
C,Xavier Tillman (1078665),Xavier Tillman,1078665,C/UTIL,3000,BOS @BKN,BOS,3.74,0.0,10.46,100,0,0,0
PF,Gui Santos (1391940),Gui Santos,1391940,PF/UTIL,3000,GSW @ORL,GSW,3.71,0.7,10.18,100,0,0,0
