Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Jay Huff,PF/C,IND,4000,14.54,2,30,23.29,0.0,2,66.0,5.2,15.67,41,26,-3,0,12.7,vs GSW,10.5,380,230.5,110.0,0.7366720779220779,0.3775,0.0,12.4,16.2,0.8,0.03855421686746988,0.6292424242424242,0.8333333333333333,0.03636363636363636,0.01999235023284902,0.2,0.1,3.0,0.2
Quinten Post,C,GSW,4000,10.56,9,30,18.43,0.13,2,69.0,2.3,11.61,71,19,6,0,9.9,@IND,-10.5,-500,230.5,120.5,0.6301346153846155,0.30103846153846153,0.0,11.05,13.6,0.7,0.0345238095238095,0.5663461538461538,0.62,0.0125,0.0,0.4,0.0,2.4,0.8
Tristan da Silva,SF/PF,ORL,3900,20.62,27,30,25.92,2.27,2,76.0,13.7,17.19,18,40,5,0,20.7,@WAS,-8.5,-375,234.5,121.5,0.9510335497835497,0.5895238095238095,0.0,21.15,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mac McClung,PG/SG,IND,3900,14.65,11,30,27.72,0.03,2,55.00000000000001,2.3,11.8,92,21,-3,0,18.8,vs GSW,10.5,380,230.5,110.0,1.1993927125506074,0.6761133603238867,0.0,18.75,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sion James,PG,CHA,3800,14.37,3,30,20.92,11.98,2,76.0,3.8,15.49,51,38,-2,0,16.5,vs MIN,4.5,160,235.5,115.5,0.6704432917331693,0.4018890737072861,0.0,14.3125,21.75,1.1875,0.07421875,0.39298213564602036,0.25,0.06746005038170873,0.5,2.5,0.25,4.0,0.25
Goga Bitadze,C,ORL,3800,15.11,26,30,22.82,3.59,2,78.0,2.6,16.46,80,32,3,0,17.6,@WAS,-8.5,-375,234.5,121.5,0.8902122387416505,0.4156503627091862,0.0,15.5,17.6,0.5,0.033793297662630215,0.6892767363355599,0.06666666666666667,0.10257128492422607,0.553256704980843,1.6,0.1,3.0,0.0
Chris Boucher,PF/C,BOS,3700,4.69,7,30,25.93,3.75,2,69.0,1.2,2.21,61,9,-2,0,8.4,vs HOU,5.5,164,226.5,110.5,0.27222222222222225,0.08888888888888888,0.0,3.85,5.4,0.0,0.0,0.36888888888888893,0.4333333333333333,0.0,0.0,0.0,0.0,1.2,0.4
Josh Okogie,SG,HOU,3700,15.95,3,30,23.36,11.2,1,72.0,11.7,18.15,18,44,3,0,15.6,@BOS,-5.5,-198,226.5,116.0,0.7172876619090834,0.518984613480736,0.0,15.5625,22.75,0.25,0.017241379310344824,0.4737150400132002,0.5416666666666666,0.12274667931688803,0.3135946371267008,2.5,0.15,5.0,0.75
Quenton Jackson,SG/SF,IND,3700,15.79,20,30,23.74,0.69,1,59.0,35.0,20.59,6,40,-2,0,16.4,vs GSW,10.5,380,230.5,110.0,0.9090067340067339,0.6666666666666666,0.0,16.416666666666668,16.666666666666668,1.5,0.06816970472231103,0.7703703703703703,0.35555555555555557,0.17979797979797976,0.0648025897320756,1.3333333333333333,0.05555555555555553,3.3333333333333335,0.0
Corey Kispert,SG,WAS,3600,16.59,8,30,23.61,10.21,2,84.0,5.3,14.11,37,40,-3,0,15.6,vs ORL,8.5,295,234.5,113.0,0.8903769841269842,0.6115079365079366,0.0,18.625,21.0,2.125,0.11320571559267781,0.6593253968253968,0.7708333333333334,0.07329365079365077,0.20080321285140545,3.0,0.25,2.75,0.0
Xavier Tillman,PF/C,BOS,3600,5.29,7,30,10.25,0.0,2,68.0,2.3,6.73,35,10,-1,0,10.0,vs HOU,5.5,164,226.5,110.5,0.5578296703296703,0.34945054945054943,0.0,5.9,7.6,0.55,0.04583333333333332,0.3302197802197802,0.2,0.01428571428571428,0.0,0.2,0.0,2.4,0.4
Dorian Finney-Smith,SF/PF,HOU,3500,0.0,5,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@BOS,-5.5,-198,226.5,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Green,SG/SF,CHA,3500,0.0,3,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs MIN,4.5,160,235.5,115.5,,,,,,,,,,,,,,,
Hugo Gonzalez,SG/SF,BOS,3500,5.62,8,30,18.12,3.13,2,28.000000000000004,2.3,5.53,45,9,-3,0,10.6,vs HOU,5.5,164,226.5,110.5,0.47403381642512077,0.1542028985507246,0.0,8.5,12.0,0.5,0.028484848484848457,0.25362318840579706,0.2,0.02608695652173912,0.01620089104900768,0.2,0.06666666666666667,3.0,0.0
Cam Whitmore,SF/PF,WAS,3400,13.32,8,30,27.08,1.61,2,76.0,4.1,15.54,46,28,-2,0,17.2,vs ORL,8.5,295,234.5,113.0,1.0607319078947368,0.6792594466936572,0.0,16.8125,15.75,0.6875,0.04353967084254483,0.8119053643724697,0.43333333333333335,0.18085357624831305,0.3043560534812336,2.25,0.0,3.0,0.0
