Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
67,4935736974,THE_PHANTOM_1 (15/50),0,337.5,C Jusuf Nurkic F Ausar Thompson G Amen Thompson PF Isaiah Stewart PG Miles McBride SF Tari Eason SG Russell Westbrook UTIL Nikola Jokic,,Zach LaVine,SF,1.50%,26.25
67,4935762857,mlief (1/5),0,337.5,C Isaiah Stewart F Karl-Anthony Towns G Russell Westbrook PF Jarace Walker PG Ryan Rollins SF Lauri Markkanen SG Keyonte George UTIL Ronald Holland II,,Neemias Queta,C,1.43%,23.5
71,4935248840,dacoltz (126/150),0,337.25,C Myles Turner F Isaiah Stewart G Amen Thompson PF Karl-Anthony Towns PG Cade Cunningham SF Tari Eason SG Johnny Furphy UTIL Russell Westbrook,,Landry Shamet,F,1.35%,19.75
71,4935548690,RubioDimes (93/150),0,337.25,C Jusuf Nurkic F Isaiah Stewart G Keyonte George PF Noah Clowney PG Derrick White SF Tyrese Martin SG Cam Thomas UTIL Nikola Jokic,,Javonte Green,G,1.30%,14.75
71,4936032645,nymanluke,0,337.25,C Jusuf Nurkic F Isaiah Stewart G Russell Westbrook PF Julius Randle PG Dennis Schroder SF Lauri Markkanen SG Cam Thomas UTIL Tari Eason,,Miles McBride,PG,1.24%,13.75
74,4935248740,dacoltz (26/150),0,337,C Isaiah Stewart F Ausar Thompson G Amen Thompson PF Tari Eason PG Ryan Rollins SF Tyrese Martin SG Russell Westbrook UTIL Nikola Jokic,,Daniel Gafford,C,1.24%,30.5
75,4935898170,OlaveGarden94 (2/3),0,336.5,C Jusuf Nurkic F Karl-Anthony Towns G Jordan Clarkson PF Isaiah Stewart PG CJ McCollum SF Tyrese Martin SG Russell Westbrook UTIL Nikola Jokic,,Ja Morant,G,1.23%,40.25
75,4935967241,alison_523,0,336.5,C Noah Clowney F Karl-Anthony Towns G Landry Shamet PF Isaiah Stewart PG Amen Thompson SF Tari Eason SG Quenton Jackson UTIL Nikola Jokic,,Cole Anthony,SG,1.11%,24
77,4935093965,DeeStormyOne_1,0,336.25,C Jalen Duren F Isaiah Stewart G D'Angelo Russell PF Julius Randle PG Keyonte George SF Ziaire Williams SG Cam Thomas UTIL Russell Westbrook,,AJ Green,SG,1.07%,20.25
77,4935995290,ctone2manpro,0,336.25,C Isaiah Stewart F Noah Clowney G Jalen Brunson PF Julius Randle PG Russell Westbrook SF Tari Eason SG Quenton Jackson UTIL Karl-Anthony Towns,,Naji Marshall,PF,1.05%,19
79,4935440008,mhankin (103/110),0,336,C Isaiah Stewart F Karl-Anthony Towns G Payton Pritchard PF Noah Clowney PG Ryan Rollins SF Tari Eason SG Ziaire Williams UTIL Nikola Jokic,,Tre Johnson,SG,1.01%,19
79,4935609419,dannyc45 (51/150),0,336,C Jusuf Nurkic F Tari Eason G Amen Thompson PF Isaiah Stewart PG Ryan Rollins SF Jarace Walker SG Christian Braun UTIL Nikola Jokic,,Jordan Clarkson,PG,0.94%,19.75
81,4935159588,TheCol41,0,335.75,C Jusuf Nurkic F Karl-Anthony Towns G Quenton Jackson PF Julius Randle PG Russell Westbrook SF Aaron Nesmith SG Keyonte George UTIL Isaiah Jackson,,Marvin Bagley III,C,0.88%,14.75
81,4935248793,dacoltz (79/150),0,335.75,C Jalen Duren F Tari Eason G Jamal Murray PF Isaiah Stewart PG Amen Thompson SF PJ Washington SG Russell Westbrook UTIL Ausar Thompson,,Dwight Powell,C,0.84%,0
83,4934967423,ocdobv (56/150),0,335.5,C Nikola Jokic F Karl-Anthony Towns G Russell Westbrook PF Noah Clowney PG Ryan Rollins SF Jarace Walker SG Tyrese Martin UTIL Tari Eason,,Tim Hardaway Jr.,SF,0.81%,13
83,4935022991,mazwa (41/150),0,335.5,C Jusuf Nurkic F Tari Eason G Christian Braun PF Isaiah Stewart PG Cade Cunningham SF Jarace Walker SG Javonte Green UTIL Nikola Jokic,,Jock Landale,C,0.77%,28.75
83,4935174383,TJB128 (141/150),0,335.5,C Jusuf Nurkic F Isaiah Stewart G Derrick White PF Pascal Siakam PG Payton Pritchard SF Tari Eason SG Cam Thomas UTIL Russell Westbrook,,Sam Hauser,PF,0.70%,14
83,4935483104,zoneout2020 (1/2),0,335.5,C Domantas Sabonis F Josh Minott G Christian Braun PF Isaiah Stewart PG Russell Westbrook SF Terance Mann SG Max Christie UTIL Nikola Jokic,,Klay Thompson,SG,0.69%,14.75
87,4935023062,mazwa (112/150),0,334.5,C Jusuf Nurkic F Isaiah Stewart G Jamal Murray PF Naz Reid PG Cade Cunningham SF OG Anunoby SG Russell Westbrook UTIL Tari Eason,,Gary Harris,UTIL,0.67%,0
88,4934738715,hixx (22/150),0,334.25,C Nic Claxton F Karl-Anthony Towns G Russell Westbrook PF Julius Randle PG Dennis Schroder SF Tyrese Martin SG Cam Thomas UTIL Tari Eason,,Kevin Love,C,0.62%,17.75
88,4935016063,tomjk321 (77/150),0,334.25,C Jusuf Nurkic F Isaiah Stewart G D'Angelo Russell PF Karl-Anthony Towns PG Payton Pritchard SF Tari Eason SG Johnny Furphy UTIL Nikola Jokic,,Keon Ellis,F,0.61%,21.25
88,4935379251,madarg (76/100),0,334.25,C Noah Clowney F Julius Randle G Javonte Green PF Karl-Anthony Towns PG Russell Westbrook SF Terance Mann SG Tyrese Martin UTIL Nikola Jokic,,Day'Ron Sharpe,UTIL,0.61%,16.25
91,4935011244,fjbourne (126/150),0,334,C Nic Claxton F Isaiah Stewart G Amen Thompson PF Karl-Anthony Towns PG Derrick White SF Tari Eason SG Christian Braun UTIL Jalen Duren,,DeMar DeRozan,F,0.61%,24.75
91,4935023023,mazwa (73/150),0,334,C Jalen Duren F Tari Eason G Russell Westbrook PF Isaiah Stewart PG Amen Thompson SF Terance Mann SG Reed Sheppard UTIL Nikola Jokic,,Tobias Harris,PF,0.56%,0
91,4935718405,kiabright (1/5),0,334,C Alperen Sengun F Julius Randle G Landry Shamet PF Karl-Anthony Towns PG D'Angelo Russell SF Tari Eason SG Russell Westbrook UTIL Noah Clowney,,Cam Spencer,UTIL,0.55%,20.5
94,4935084207,bgreseth (136/150),0,333.5,C Myles Turner F Tari Eason G Russell Westbrook PF Isaiah Stewart PG Derrick White SF Ausar Thompson SG Tyrese Martin UTIL Nikola Jokic,,Bobby Portis,F,0.52%,12
94,4935250555,zokin (40/150),0,333.5,C Isaiah Stewart F Ausar Thompson G Russell Westbrook PF Julius Randle PG Cade Cunningham SF Jaden McDaniels SG Tyrese Martin UTIL Tari Eason,,Michael Porter Jr.,PF,0.49%,0
96,4934961308,nickolaiwilson (1/2),0,333.25,C Myles Turner F Isaiah Stewart G Russell Westbrook PF Tari Eason PG Quenton Jackson SF Jaylen Brown SG Landry Shamet UTIL Nikola Jokic,,Santi Aldama,PF,0.49%,17.75
96,4935011254,fjbourne (136/150),0,333.25,C Isaiah Jackson F Tari Eason G Payton Pritchard PF Isaiah Stewart PG Derrick White SF Ronald Holland II SG Cam Thomas UTIL Nikola Jokic,,Brandon Williams,UTIL,0.47%,9.5
96,4935548639,RubioDimes (42/150),0,333.25,C Alexandre Sarr F Karl-Anthony Towns G Russell Westbrook PF Noah Clowney PG Quenton Jackson SF Tari Eason SG Tyrese Martin UTIL Nikola Jokic,,Jaylen Clark,UTIL,0.43%,10.75
99,4934746666,oxenduck (21/150),0,333,C Jusuf Nurkic F Isaiah Stewart G Amen Thompson PF Karl-Anthony Towns PG Derrick White SF Tari Eason SG Tyrese Martin UTIL Alperen Sengun,,Corey Kispert,SG,0.43%,22
99,4935935215,dcastoro39 (2/2),0,333,C Alexandre Sarr F Karl-Anthony Towns G Mikal Bridges PF Bilal Coulibaly PG Dennis Schroder SF OG Anunoby SG Christian Braun UTIL Isaiah Stewart,,Jalen Wilson,SF,0.43%,9.75
101,4935023099,mazwa (149/150),0,332.75,C Nic Claxton F Ronald Holland II G Christian Braun PF Karl-Anthony Towns PG Reed Sheppard SF Tari Eason SG Russell Westbrook UTIL Nikola Jokic,,Jaren Jackson Jr.,UTIL,0.40%,33
101,4935174266,TJB128 (24/150),0,332.75,C Myles Turner F Isaiah Stewart G Russell Westbrook PF Karl-Anthony Towns PG Cade Cunningham SF Ausar Thompson SG Reed Sheppard UTIL Jusuf Nurkic,,Cameron Johnson,F,0.37%,18.25
103,4934765262,AaronCosta (34/150),0,332.5,C Isaiah Stewart F Tari Eason G Cade Cunningham PF Noah Clowney PG Amen Thompson SF Tyrese Martin SG Ziaire Williams UTIL Nikola Jokic,,Jonas Valanciunas,C,0.35%,17.75
103,4935165210,RichGreen4 (31/150),0,332.5,C Jusuf Nurkic F Ausar Thompson G Cam Thomas PF Isaiah Stewart PG Russell Westbrook SF Tari Eason SG Quenton Jackson UTIL Nikola Jokic,,Terrence Shannon Jr.,UTIL,0.33%,5.75
103,4935439997,mhankin (92/110),0,332.5,C Nikola Jokic F Justin Champagnie G Amen Thompson PF Isaiah Stewart PG Derrick White SF Terance Mann SG Russell Westbrook UTIL D'Angelo Russell,,Kyle Kuzma,F,0.33%,21.75
106,4935497311,mattmoss12 (17/25),0,332,C Jusuf Nurkic F PJ Washington G Dennis Schroder PF Karl-Anthony Towns PG Cade Cunningham SF Taylor Hendricks SG Russell Westbrook UTIL Tari Eason,,Vince Williams Jr.,F,0.31%,13
106,4935966275,jerrysworld65 (5/8),0,332,C Jusuf Nurkic F Karl-Anthony Towns G Dennis Schroder PF Noah Clowney PG Amen Thompson SF Tari Eason SG Russell Westbrook UTIL Domantas Sabonis,,Bruce Brown,PG,0.31%,25.5
108,4934815981,britfish26 (2/5),0,331.75,C Jusuf Nurkic F Aaron Gordon G Russell Westbrook PF Karl-Anthony Towns PG Donte DiVincenzo SF PJ Washington SG Payton Pritchard UTIL Quenton Jackson,,Ben Sheppard,SG,0.28%,11.75
108,4935595024,jsn77 (126/150),0,331.75,C Jusuf Nurkic F Isaiah Stewart G Keyonte George PF Noah Clowney PG Derrick White SF Ziaire Williams SG Payton Pritchard UTIL Nikola Jokic,,Jaylen Wells,SF,0.28%,16
110,4935492065,Shaikh302 (24/30),0,331.5,C Jusuf Nurkic F Isaiah Stewart G Jamal Murray PF Tari Eason PG Cade Cunningham SF Jaylen Brown SG Tyrese Martin UTIL Russell Westbrook,,Mac McClung,G,0.25%,0
110,4935595281,dtadiello (11/37),0,331.5,C Jusuf Nurkic F PJ Washington G D'Angelo Russell PF Tari Eason PG Amen Thompson SF Jaylen Brown SG Cam Thomas UTIL Russell Westbrook,,Kyle Filipowski,PF,0.22%,25
112,4935338815,ogease (5/6),0,331.25,C Isaiah Stewart F Tari Eason G Russell Westbrook PF Giannis Antetokounmpo PG Ryan Rollins SF Aaron Nesmith SG Quenton Jackson UTIL PJ Washington,,Rob Dillingham,PG,0.22%,10.75
112,4935588888,clew4u,0,331.25,C Nikola Jokic F Bilal Coulibaly G Quenton Jackson PF Isaiah Stewart PG Russell Westbrook SF Lauri Markkanen SG Duncan Robinson UTIL Isaiah Jackson,,Baylor Scheierman,G,0.20%,0.75
