Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
42,4953094125,MistaQ7980 (142/150),0,311,C Jakob Poeltl F Aaron Gordon G Shai Gilgeous-Alexander PF Naz Reid PG Andrew Nembhard SF Tim Hardaway Jr. SG Austin Reaves UTIL Jonas Valanciunas,,Alex Caruso,SG,4.83%,0
46,4953021898,juventus24,0,310.75,C Naz Reid F RJ Barrett G Andrew Nembhard PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Anthony Edwards UTIL Bruce Brown,,Myles Turner,C,4.36%,16.5
47,4951830935,bpcologna (67/150),0,310.5,C Jonas Valanciunas F Aaron Gordon G Jamal Murray PF Peyton Watson PG Andrew Nembhard SF Tim Hardaway Jr. SG Austin Reaves UTIL Anthony Edwards,,Isaiah Jackson,C,3.75%,14.5
47,4952901469,zoltar91282 (83/150),0,310.5,C Moussa Diabate F Julian Strawther G Jamal Murray PF Aaron Gordon PG Luka Doncic SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Ajay Mitchell,PG,3.68%,30.5
47,4953172699,RubioDimes (19/150),0,310.5,C Tony Bradley F Julius Randle G Jamal Murray PF Aaron Gordon PG Luka Doncic SF Tim Hardaway Jr. SG Bruce Brown UTIL Moussa Diabate,,Gradey Dick,SF,3.37%,18.5
50,4952558040,tremontebarwo,0,310.25,C Sandro Mamukelashvili F Dalton Knecht G Tim Hardaway Jr. PF Aaron Gordon PG Jamal Murray SF Jaden McDaniels SG Austin Reaves UTIL Pascal Siakam,,Cole Anthony,PG,3.29%,19.75
50,4952785201,lebronsucksbutt (21/50),0,310.25,C Jaxson Hayes F Julius Randle G AJ Green PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Brandon Ingram UTIL Anthony Edwards,,AJ Green,SG,3.20%,20.75
50,4953088247,de.namster (1/2),0,310.25,C Ryan Kalkbrenner F Aaron Gordon G Brandon Ingram PF Naz Reid PG Jamal Murray SF Dalton Knecht SG Anthony Edwards UTIL Jakob Poeltl,,Miles Bridges,F,3.05%,27.5
50,4953094024,MistaQ7980 (41/150),0,310.25,C Moussa Diabate F Jaden McDaniels G Luka Doncic PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Isaiah Joe UTIL Jakob Poeltl,,Dalton Knecht,F,2.97%,26
54,4952860211,44scorcher (28/150),0,309.75,C Moussa Diabate F Naz Reid G Austin Reaves PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Ryan Rollins,,Collin Sexton,SG,2.86%,24.5
55,4951955702,OneDropKing (40/150),0,309.25,C Tony Bradley F Aaron Gordon G Jamal Murray PF Chet Holmgren PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jakob Poeltl,,Julian Strawther,SF,2.60%,1.25
55,4952547784,ImnotNavT (12/150),0,309.25,C Jakob Poeltl F Aaron Gordon G Jamal Murray PF Chet Holmgren PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Tony Bradley,,Deandre Ayton,UTIL,2.19%,38.5
55,4952592308,sullybrochill (68/150),0,309.25,C Moussa Diabate F Aaron Gordon G Luka Doncic PF Jeremiah Robinson-Earl PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Luguentz Dort,SF,1.99%,11.5
55,4952592365,sullybrochill (125/150),0,309.25,C Jakob Poeltl F Julius Randle G Luka Doncic PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Bruce Brown UTIL Jonas Valanciunas,,Jay Huff,PF,1.58%,14.25
55,4953021589,dacoltz (46/150),0,309.25,C Moussa Diabate F Aaron Gordon G Luka Doncic PF Jeremiah Robinson-Earl PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Cason Wallace,PG,1.51%,24
60,4953178037,tick-1,0,309,C Naz Reid F Jeremiah Robinson-Earl G Dalton Knecht PF Aaron Gordon PG Luka Doncic SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jaden McDaniels,,Spencer Jones,SF,1.49%,7
61,4952547869,ImnotNavT (97/150),0,308.75,C Sandro Mamukelashvili F Aaron Gordon G Luka Doncic PF Naz Reid PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Tony Bradley,,Ben Sheppard,SG,1.30%,10.25
61,4952767070,F0rsaken (131/150),0,308.75,C Jakob Poeltl F Julius Randle G Andrew Nembhard PF Aaron Gordon PG T.J. McConnell SF Jaden McDaniels SG Tim Hardaway Jr. UTIL Anthony Edwards,,KJ Simpson,G,1.17%,21.25
63,4952547885,ImnotNavT (113/150),0,308.5,C Jakob Poeltl F Peyton Watson G Jamal Murray PF Aaron Gordon PG T.J. McConnell SF Tim Hardaway Jr. SG Austin Reaves UTIL Anthony Edwards,,Gary Trent Jr.,SF,0.99%,16
64,4951830973,bpcologna (105/150),0,308.25,C Jonas Valanciunas F Aaron Gordon G Jamal Murray PF Naz Reid PG Shai Gilgeous-Alexander SF Tim Hardaway Jr. SG Bruce Brown UTIL Anthony Edwards,,Bobby Portis,F,0.85%,16.5
64,4952221828,giantsquid (43/150),0,308.25,C Jakob Poeltl F Julius Randle G Donte DiVincenzo PF Aaron Gordon PG Jamal Shead SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jamal Murray,,Jaylen Clark,SF,0.67%,5.5
64,4952767029,F0rsaken (90/150),0,308.25,C Jakob Poeltl F Julius Randle G Andrew Nembhard PF Aaron Gordon PG Jamal Shead SF Tim Hardaway Jr. SG Bruce Brown UTIL Luka Doncic,,Cody Martin,SG,0.56%,0
64,4952936529,jdeegs99 (101/150),0,308.25,C Jakob Poeltl F Tim Hardaway Jr. G Luka Doncic PF Aaron Gordon PG Donte DiVincenzo SF Pat Connaughton SG Anthony Edwards UTIL Moussa Diabate,,Collin Murray-Boyles,C,0.51%,15.5
64,4953000726,cruzin805 (3/4),0,308.25,C Moussa Diabate F Naz Reid G Immanuel Quickley PF Aaron Gordon PG Luka Doncic SF Jarace Walker SG Tim Hardaway Jr. UTIL Jakob Poeltl,,Ousmane Dieng,F,0.34%,6
69,4953145207,driverseati,0,308,C Branden Carlson F Aaron Gordon G Anthony Edwards PF Julius Randle PG Andrew Nembhard SF Tim Hardaway Jr. SG Austin Reaves UTIL Ryan Kalkbrenner,,Nick Smith Jr.,UTIL,0.30%,7
70,4951830901,bpcologna (33/150),0,307.75,C Naz Reid F Jaden McDaniels G Austin Reaves PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Sion James UTIL Anthony Edwards,,Pat Connaughton,SF,0.29%,12
70,4951996481,Raymond82 (1/2),0,307.75,C Naz Reid F Aaron Gordon G AJ Green PF Julius Randle PG Donte DiVincenzo SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jamal Murray,,Marcus Smart,SF,0.26%,0
70,4952061427,maliktuener9825,0,307.75,C Jonas Valanciunas F Aaron Gordon G Jamal Murray PF Chet Holmgren PG Bruce Brown SF Tim Hardaway Jr. SG Anthony Edwards UTIL Austin Reaves,,Mike Conley,UTIL,0.25%,9.75
70,4953134780,idlove2win (39/150),0,307.75,C Branden Carlson F Naz Reid G Anthony Edwards PF Aaron Gordon PG Luka Doncic SF Kon Knueppel SG Tim Hardaway Jr. UTIL Moussa Diabate,,Jaxson Hayes,C,0.17%,22
74,4952293060,Ian1978football (2/2),0,307.5,C Jakob Poeltl F Naz Reid G Isaiah Joe PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG AJ Green UTIL Nikola Jokic,,RayJ Dennis,UTIL,0.15%,6.5
74,4953166765,lawdog4,0,307.5,C Moussa Diabate F Naz Reid G Austin Reaves PF Jeremiah Robinson-Earl PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jamal Murray,,Gary Harris,SG,0.15%,11.75
76,4952260015,ItsJustGames,0,307.25,C Jakob Poeltl F Aaron Gordon G Jamal Murray PF Chet Holmgren PG Ajay Mitchell SF Dalton Knecht SG Austin Reaves UTIL Sandro Mamukelashvili,,Rob Dillingham,PG,0.10%,8
76,4952530002,lilprog (13/20),0,307.25,C Jakob Poeltl F Jarred Vanderbilt G Austin Reaves PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Anthony Edwards UTIL Naz Reid,,Ja'Kobe Walter,G,0.10%,8
76,4952986844,mazwa (44/150),0,307.25,C Isaiah Jackson F Naz Reid G Luka Doncic PF Aaron Gordon PG Jamal Murray SF Jaden McDaniels SG AJ Green UTIL Moussa Diabate,,Monte Morris,UTIL,0.09%,3.75
79,4952060576,Holland81,0,306.5,C Jakob Poeltl F Julius Randle G Jamal Murray PF Jeremiah Robinson-Earl PG Andrew Nembhard SF RJ Barrett SG Tim Hardaway Jr. UTIL Aaron Gordon,,Adou Thiero,UTIL,0.07%,5.25
79,4952610891,mtftw16,0,306.5,C Naz Reid F Julius Randle G Anthony Edwards PF Aaron Gordon PG Jamal Murray SF Peyton Watson SG Tim Hardaway Jr. UTIL Jake LaRavia,,Aaron Nesmith,F,0.07%,0
